CustomerKey,GeographyKey,CustomerAlternateKey,MaritalStatus,Gender,SalaryYear,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
11000,26,AW00011000,M,M,90000,2,0,Bachelors,Professional,1,0,1-2 Miles,Pacific,50,1
11001,37,AW00011001,S,M,60000,3,3,Bachelors,Professional,0,1,0-1 Miles,Pacific,46,1
11002,31,AW00011002,M,M,60000,3,3,Bachelors,Professional,1,1,2-5 Miles,Pacific,51,1
11003,11,AW00011003,S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,48,1
11004,19,AW00011004,S,F,80000,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,42,1
11005,22,AW00011005,S,M,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,45,1
11006,8,AW00011006,S,F,70000,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,45,1
11007,40,AW00011007,M,M,60000,3,3,Bachelors,Professional,1,2,0-1 Miles,Pacific,52,1
11008,32,AW00011008,S,F,60000,4,4,Bachelors,Professional,1,3,10+ Miles,Pacific,47,1
11009,25,AW00011009,S,M,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,52,1
11010,22,AW00011010,S,F,70000,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,52,1
11011,22,AW00011011,M,M,60000,4,4,Bachelors,Professional,1,4,10+ Miles,Pacific,53,1
11012,611,AW00011012,M,F,100000,2,0,Bachelors,Management,1,2,1-2 Miles,North America,43,0
11013,543,AW00011013,M,M,100000,2,0,Bachelors,Management,1,3,0-1 Miles,North America,42,0
11014,634,AW00011014,S,F,100000,3,0,Bachelors,Management,0,3,1-2 Miles,North America,48,0
11015,301,AW00011015,S,F,30000,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,37,1
11016,329,AW00011016,M,M,30000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,37,1
11017,39,AW00011017,S,F,20000,4,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,72,1
11018,32,AW00011018,S,M,30000,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,66,1
11019,52,AW00011019,S,M,40000,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,38,0
11020,53,AW00011020,S,M,40000,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,38,1
11021,536,AW00011021,S,F,40000,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,38,1
11022,609,AW00011022,M,M,40000,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,38,1
11023,298,AW00011023,M,M,40000,0,0,Partial College,Skilled Manual,1,1,1-2 Miles,North America,38,0
11024,311,AW00011024,M,M,60000,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,38,0
11025,24,AW00011025,M,M,10000,2,1,Partial High School,Clerical,1,2,1-2 Miles,Pacific,71,1
11026,4,AW00011026,S,M,30000,2,0,Partial College,Clerical,0,2,1-2 Miles,Pacific,70,1
11027,40,AW00011027,M,M,30000,2,0,Partial College,Clerical,1,2,5-10 Miles,Pacific,70,1
